ref_char,pred_char,count,ref_total,error_rate
 ,∅,603,23016,2.6
a,o,280,7826,3.6
∅, ,187,1,
r,∅,187,5678,3.3
o,a,174,7389,2.4
e,∅,144,12029,1.2
.,∅,138,1326,10.4
s,∅,126,5988,2.1
r,s,121,5678,2.1
t,l,116,8617,1.3
n,m,105,6573,1.6
u,n,102,2816,3.6
t,∅,100,8617,1.2
a,e,96,7826,1.2
s,r,92,5988,1.5
m,n,89,2183,4.1
∅,e,88,1,
n,∅,88,6573,1.3
i,∅,87,6321,1.4
o,∅,80,7389,1.1
',∅,79,429,18.4
a,∅,77,7826,1.0
r,n,76,5678,1.3
∅,r,74,1,
",",∅,70,1331,5.3
o,e,67,7389,0.9
l,∅,66,3972,1.7
n,r,66,6573,1.0
c,∅,65,2327,2.8
u,a,62,2816,2.2
n,u,58,6573,0.9
s,n,58,5988,1.0
h,∅,58,5804,1.0
e,a,56,12029,0.5
∅,t,52,1,
h,l,52,5804,0.9
u,∅,51,2816,1.8
l,t,49,3972,1.2
e,o,48,12029,0.4
a,u,48,7826,0.6
∅,l,48,1,
∅,n,47,1,
v,r,46,961,4.8
d,l,45,4090,1.1
c,e,45,2327,1.9
u,e,45,2816,1.6
-,∅,44,362,12.2
∅,s,43,1,
f,t,42,2124,2.0
∅,o,42,1,
"""",∅,42,576,7.3
∅,a,42,1,
∅,i,42,1,
r,t,39,5678,0.7
r,e,38,5678,0.7
t,d,38,8617,0.4
∅,c,37,1,
l,d,36,3972,0.9
s,o,35,5988,0.6
"""",',34,576,5.9
∅,u,32,1,
S,s,31,241,12.9
r,o,31,5678,0.5
t,f,31,8617,0.4
y,g,30,1848,1.6
l,e,29,3972,0.7
n,s,29,6573,0.4
h,s,28,5804,0.5
n,y,27,6573,0.4
b,h,27,1466,1.8
u,m,26,2816,0.9
s,c,26,5988,0.4
i,e,26,6321,0.4
',"""",26,429,6.1
h,n,26,5804,0.4
b,l,25,1466,1.7
s,t,25,5988,0.4
m,u,24,2183,1.1
w,u,24,2262,1.1
T,t,24,358,6.7
g,y,23,2026,1.1
